0.31,191,0.4,0.45,350,0.9,0.87,537,2.7,0.84,323,3.2,0
0.58,119,5,0.47,437,0.5,0.94,240,2,0.3,300,2.8,1
0.42,343,1.3,0.25,238,3.1,0.5,484,2.7,0.76,129,2.9,2
0.97,56,1,0.22,134,3.7,0.24,187,1.4,0.93,334,3.4,3
0.6,109,0.4,0.92,392,0.6,0.28,302,2,0.82,39,1.2,4
0.34,288,1.7,0.35,34,0.6,0.99,319,2.2,0.86,528,2.3,5
0.53,401,0.2,0.65,173,1.4,0.61,282,0.6,0.8,553,0,6
0.38,266,2.3,0.92,27,0.8,0.79,328,0.9,0.25,519,0.2,7
0.34,476,2.5,0.56,49,1.9,0.37,134,0.1,0.74,260,3,8
0.92,494,2.4,0.32,354,2.3,0.24,308,4.3,0.55,541,4.7,9
0.53,210,4.8,0.64,335,2.2,0.59,410,2.2,0.6,5,0.4,10
0.47,61,0.8,0.77,209,2.3,0.42,527,0.6,0.85,392,1,11
0.35,246,4.4,0.95,541,4.6,0.71,590,2.7,0.74,459,0.4,12
0.78,55,4.7,0.88,450,0.4,0.87,249,3.6,0.35,111,2.3,13
0.46,110,0.2,0.49,35,2.4,0.64,42,4.3,0.82,123,3.3,14
0.74,50,3.6,0.73,514,3.7,0.52,450,4.6,0.49,433,2.2,15
0.85,496,2.1,0.58,36,0.9,0.4,203,4,0.27,324,0.5,16
0.33,533,4,0.31,74,3.1,1,121,4.6,0.99,58,1.9,17
0.65,431,0.6,0.77,579,0.4,0.31,595,4.3,0.29,23,2,18
0.37,23,2.2,0.3,246,3.3,0.52,457,3.5,0.24,17,3.1,19
0.21,431,4,0.34,37,3.3,0.57,21,2.2,0.75,40,3,20
0.72,150,4.9,0.75,191,3.7,0.55,62,3.2,0.78,81,3.3,21
0.3,111,0.8,0.43,470,0.4,0.36,249,0.8,0.24,352,3.4,22
0.29,144,4.6,0.74,304,4.2,0.55,457,1.8,0.47,316,0,23
0.58,559,2.6,0.9,30,4.3,0.72,176,0.8,0.99,241,3.1,24
0.25,195,4.5,0.51,309,0.2,0.6,560,1.2,0.89,430,0.7,25
0.67,312,2.1,0.4,85,0.5,0.87,235,3.8,0.56,274,1.1,26
0.75,197,0.7,0.99,539,4.8,0.69,17,0.5,0.43,450,0.3,27
0.81,432,2.1,0.97,366,2.2,0.49,250,0.6,0.66,522,0.4,28
0.61,390,2.9,0.29,551,2.9,0.43,598,0,0.89,222,1.2,29
0.89,17,1.2,0.41,192,5,0.29,523,0.5,0.61,312,3.8,30
0.43,17,2.4,0.43,558,3,0.58,256,3,0.65,574,3.7,31
0.82,103,4.3,0.72,366,3.9,0.87,479,4.5,0.42,476,2.2,32
