1.51,31,0.6,1.02,32,1.7,1.33,9,0.8,1.04,2,0.3,0
1.77,56,0.8,0.91,73,1,0.53,50,0.8,0.74,83,1.3,1
1.17,85,1,1.47,37,1.8,1.08,73,0.6,1.51,79,0.7,2
0.91,14,2.3,0.83,25,0.3,1.92,26,0.7,1.64,35,0,3
1.99,100,0.8,0.87,83,1.5,0.78,64,2.4,1.65,93,2.4,4
0.43,39,0.3,1.45,68,1.4,1.17,23,0.4,1.78,10,0.8,5
0.47,33,0.5,1.88,10,2.1,1.94,11,0.1,1.99,3,1.9,6
0.75,66,0.1,1.22,100,0.1,0.8,65,0.9,1.37,68,2.3,7
0.86,21,0.1,0.48,54,0.6,0.67,41,1.6,0.93,61,1.1,8
0.81,81,1.4,0.44,60,1.7,1.99,84,0.5,0.63,33,2.4,9
1.7,20,2.3,1.39,74,1,1.25,82,0.9,0.58,67,2.1,10
0.45,51,0.6,0.76,40,2.3,1.07,77,1.3,1.09,71,0.6,11
0.49,25,1,0.83,68,0.9,0.67,28,1.2,0.85,58,0.4,12
0.43,89,0,1.78,58,1,0.69,76,0.8,1.37,48,2.5,13
1.03,47,0.1,1.98,34,0.5,1.05,78,1.6,0.52,9,1,14
0.66,23,0.3,0.44,61,1.4,0.8,19,2,1.33,69,1.4,15
1.79,21,0.9,0.6,94,0.2,1.65,95,1.1,0.43,46,2,16
1.24,76,2.4,0.66,14,1.7,1.16,71,1.8,1.11,7,2.3,17
1.1,9,2.4,1.61,9,2.2,1.99,91,0.1,1.96,44,2.2,18
0.46,62,1.1,0.54,20,2.4,1.78,0,0.4,1.91,82,1.1,19
0.98,38,1.7,0.43,21,2,1.81,14,1.8,0.48,3,0.5,20
0.82,18,1.3,0.84,80,0.8,1.14,29,0.7,1.45,66,1.6,21
0.51,54,0.8,1.23,91,0.1,1.93,61,1.2,1.85,66,0.5,22
0.89,93,2.1,0.45,7,1.9,1.36,38,0.6,1.57,86,2.3,23
0.47,47,2.2,1.12,56,1.5,0.46,48,0.2,1.92,43,1.9,24
1.71,60,2.4,0.93,82,0.5,1.84,56,2.2,1.3,36,1,25
1.62,65,2.3,1.98,50,1.8,1.03,40,0.6,0.8,32,1.8,26
1.99,25,1.3,1.3,89,1.8,0.82,48,1.1,0.79,36,1.2,27
1.83,37,2.3,0.76,62,0.6,1.53,92,2.3,0.69,78,2.5,28
1.42,83,1,0.95,6,2.2,1.22,71,1,0.54,74,0,29
1.32,96,0.5,1.16,24,2.1,0.8,20,0.3,1.7,31,0.5,30
0.72,17,1.4,0.99,28,2.2,1.17,45,1.7,1.33,76,1.3,31
1.06,77,1.7,0.91,13,2.4,1.57,32,2,0.9,10,1.8,32
1.94,86,1.2,0.62,0,0.9,0.48,84,1.3,0.78,72,0.4,33
1.3,46,2.1,1.2,92,0.9,1.16,6,0.4,1.96,99,2.2,34
0.85,76,2.3,1.07,6,1.6,1.05,21,2.2,0.57,14,1.8,35
1.2,85,2.1,0.8,69,2,1.04,54,0.1,0.42,70,2.2,36
0.84,1,0.1,0.96,79,1,0.53,95,2.2,1.28,99,1.4,37
0.74,2,0.8,0.74,61,2,0.77,82,2.4,1.11,72,0.1,38
1.37,69,0.7,1.81,26,0.7,1.08,65,1.7,0.96,95,0.9,39
1.26,25,1.7,0.53,9,0.2,0.5,50,0.2,0.76,3,1.8,40
0.67,28,0.4,0.57,37,2.2,1.01,39,2,0.67,84,1,41
1.39,7,1.3,1.97,88,0.2,0.6,49,0.6,0.91,8,1.8,42
1.21,53,1.9,0.9,57,2.2,1.42,74,0.9,1.4,86,0.9,43
0.61,68,1.2,1.39,97,2.2,0.97,66,0.5,1.39,40,1.8,44
1.37,95,0.1,1.56,47,0.1,1.28,85,0.2,1.84,52,1.2,45
1.8,93,1.6,1.5,29,1.2,0.56,50,2.3,0.54,66,0.9,46
0.98,79,1.4,0.49,11,1,1.31,78,0.7,0.92,97,0.5,47
1.83,35,0.5,0.71,51,1.2,1.28,29,0.9,1.81,27,1.1,48
1.72,40,0.9,0.96,65,2.5,1.11,22,1.5,1.77,75,0.3,49
1.05,34,0.6,1.2,64,1.6,1.75,28,2.2,1.98,0,0.3,50
0.9,12,2,0.6,16,0.2,0.95,68,1.5,1.19,5,1.4,51
0.45,95,1.7,1.6,56,0.2,1.09,63,0.5,0.53,6,1.8,52
0.82,76,0.6,0.66,17,2,0.55,31,2.3,1.4,40,1.8,53
0.74,85,2.2,1.86,60,0.3,0.65,83,1.1,1.76,95,1.9,54
1.93,26,2.1,0.79,90,1.5,1.35,58,0.5,0.61,27,0.6,55
0.91,99,0.8,0.5,11,2,1.97,57,0.7,1.47,40,0.6,56
0.48,76,1.1,1.93,53,0.3,1.84,19,1.6,1.59,68,1.7,57
0.41,70,1.1,0.59,79,1.6,0.81,13,0.1,0.5,71,1.5,58
1.05,89,1.2,0.54,1,0.7,0.69,49,2.1,1.66,8,2,59
1.24,98,0.6,1.15,45,0.6,1.99,15,1.8,1.89,60,0.2,60
1.41,60,1.2,1.35,74,1.3,0.56,99,0.7,1.84,84,2.3,61
1.58,85,0.5,0.75,56,2.1,1.12,26,0.6,1.72,47,2.2,62
0.54,25,0.1,1.99,65,0.8,1.95,77,2,1.11,68,1.6,63
